sexo_jefe,edad_jefe,ingr_trim
1,25,28337.96
1,34,48695.51
1,40,42173.36
1,47,16452.11
1,44,36375.89
1,45,23938.16
1,54,99217.49
1,53,25669.16
1,24,62809.48
1,38,32662.46
2,38,13012.67
1,32,54594.69
1,27,25882.94
1,32,28953.77
1,42,34361.19
1,34,35504.6
2,26,19062.87
1,36,45861.55
2,44,58009.23
2,40,29154.75
1,32,33087.09
1,39,21847.02
2,32,51139.25
1,35,60577.78
1,40,47603.01
1,44,59105.91
1,47,81068.07
1,42,53358.17
1,46,30721.08
2,61,9724.99
1,46,15423.77
1,83,161709.76
1,47,58216.6
1,43,53262.14
1,22,33047.54
1,42,83494.51
1,49,50547.17
1,43,125498.89
1,56,122802.77
2,86,41167.24
1,88,191155.28
1,33,171735.21
1,51,136969.8
1,35,81528.62
1,57,35722.44
2,50,84885.2
1,69,127928.69
1,37,52083.85
1,25,54159.81
1,40,26222.93
1,60,46770.45
1,65,32518.12
2,59,66432.38
1,37,145553.71
1,28,28439.13
1,40,51693.64
1,25,53336.04
2,42,39774.95
1,61,37850.46
1,40,34216.22
1,42,46664.59
1,43,22795.04
1,27,30425.47
1,70,24885.15
2,37,14831.96
1,51,29150.6
1,36,56598.28
1,46,108944.59
1,44,49787.42
2,43,43598.37
1,35,45538.15
1,38,38258.65
1,54,35074.73
1,20,21888.38
1,69,43604.8
1,31,32802.68
2,45,22998.87
1,39,72477.78
2,45,44167.92
2,39,17263.96
1,21,35767.17
1,92,39114.09
2,41,29894.38
1,47,23564.54
1,26,25509.87
2,38,18936.4
2,35,13546.12
1,56,39373.44
1,27,25933.82
1,48,51678.65
1,30,28273.74
1,28,13991.79
2,49,43347.52
1,20,23827.86
1,33,10229.5
2,76,8283.66
